,etp,temp,precip,date
102,0.0,4.2,0.0,2022-03-28 06:00:00
103,0.0,4.8,0.0,2022-03-28 07:00:00
104,0.01,7.1,0.0,2022-03-28 08:00:00
105,0.04,10.4,0.0,2022-03-28 09:00:00
106,0.08,14.3,0.0,2022-03-28 10:00:00
107,0.15,16.0,0.0,2022-03-28 11:00:00
108,0.21,17.2,0.0,2022-03-28 12:00:00
109,0.23,18.3,0.0,2022-03-28 13:00:00
110,0.24,18.7,0.0,2022-03-28 14:00:00
111,0.23,18.8,0.0,2022-03-28 15:00:00
112,0.19,18.4,0.0,2022-03-28 16:00:00
113,0.15,17.6,0.02,2022-03-28 17:00:00
114,0.09,16.6,0.02,2022-03-28 18:00:00
115,0.06,15.1,0.02,2022-03-28 19:00:00
116,0.04,14.2,0.04,2022-03-28 20:00:00
117,0.02,13.3,0.04,2022-03-28 21:00:00
118,0.01,12.1,0.04,2022-03-28 22:00:00
119,0.01,11.2,0.0,2022-03-28 23:00:00
120,0.01,10.3,0.0,2022-03-29 00:00:00
121,0.01,9.2,0.0,2022-03-29 01:00:00
122,0.0,8.5,0.0,2022-03-29 02:00:00
123,0.0,7.9,0.0,2022-03-29 03:00:00
124,0.0,7.2,0.0,2022-03-29 04:00:00
125,0.0,6.8,0.0,2022-03-29 05:00:00
126,0.0,6.6,0.0,2022-03-29 06:00:00
127,0.0,6.3,0.0,2022-03-29 07:00:00
128,0.01,8.8,0.0,2022-03-29 08:00:00
129,0.03,10.1,0.0,2022-03-29 09:00:00
130,0.05,11.7,0.0,2022-03-29 10:00:00
131,0.08,12.7,0.01,2022-03-29 11:00:00
132,0.12,13.6,0.01,2022-03-29 12:00:00
133,0.13,14.5,0.01,2022-03-29 13:00:00
134,0.14,15.0,0.0,2022-03-29 14:00:00
135,0.14,15.3,0.0,2022-03-29 15:00:00
136,0.13,15.1,0.0,2022-03-29 16:00:00
137,0.11,14.5,0.0,2022-03-29 17:00:00
138,0.08,13.6,0.0,2022-03-29 18:00:00
139,0.06,12.1,0.0,2022-03-29 19:00:00
140,0.04,10.9,0.0,2022-03-29 20:00:00
141,0.02,9.5,0.0,2022-03-29 21:00:00
142,0.01,7.9,0.0,2022-03-29 22:00:00
143,0.01,6.9,0.0,2022-03-29 23:00:00
144,0.01,6.0,0.0,2022-03-30 00:00:00
145,0.01,5.0,0.0,2022-03-30 01:00:00
146,0.0,4.2,0.0,2022-03-30 02:00:00
147,0.0,3.5,0.0,2022-03-30 03:00:00
148,0.0,2.7,0.0,2022-03-30 04:00:00
149,0.0,2.1,0.0,2022-03-30 05:00:00
150,0.0,1.6,0.0,2022-03-30 06:00:00
151,0.01,1.6,0.0,2022-03-30 07:00:00
152,0.02,2.6,0.0,2022-03-30 08:00:00
153,0.03,4.0,0.0,2022-03-30 09:00:00
154,0.05,5.9,0.0,2022-03-30 10:00:00
155,0.08,6.8,0.0,2022-03-30 11:00:00
156,0.1,7.6,0.0,2022-03-30 12:00:00
157,0.11,8.2,0.0,2022-03-30 13:00:00
158,0.11,8.3,0.0,2022-03-30 14:00:00
159,0.11,8.1,0.0,2022-03-30 15:00:00
160,0.1,7.5,0.0,2022-03-30 16:00:00
161,0.08,7.0,0.0,2022-03-30 17:00:00
162,0.06,6.2,0.0,2022-03-30 18:00:00
163,0.05,5.2,0.0,2022-03-30 19:00:00
164,0.04,4.3,0.0,2022-03-30 20:00:00
165,0.03,3.5,0.0,2022-03-30 21:00:00
166,0.02,2.3,0.0,2022-03-30 22:00:00
167,0.02,1.5,0.0,2022-03-30 23:00:00
